Data;Qualidade do Ar;Média PM25;Média PM10;Média Dioxido de Nitrogenio;Média Amônia;Média Dióxido de Enxofre;Média Monóxido de Carbono;Média Ozônio;Poluente Predominante
25/03/2017;75;75;74;28;3;2;34;38;PM2.5
26/03/2017;82;82;75;29;3;3;32;30;PM2.5
27/03/2017;72;72;71;38;3;7;40;26;PM2.5
28/03/2017;80;78;80;39;3;6;25;21;PM10
29/03/2017;73;64;73;38;3;5;35;32;PM10
30/03/2017;75;75;74;39;3;6;35;29;PM2.5
31/03/2017;78;78;72;40;3;5;42;14;PM2.5
01/04/2017;52;38;35;20;3;4;40;44;CO
02/04/2017;59;53;59;18;2;6;30;40;PM10
03/04/2017;70;62;70;10;2;9;28;47;PM10
04/04/2017;70;70;63;12;2;9;32;50;PM2.5
05/04/2017;88;88;85;6;1;6;29;40;PM2.5
06/04/2017;75;75;69;6;1;5;30;39;PM2.5
07/04/2017;86;86;82;9;1;5;29;40;PM2.5
08/04/2017;88;88;81;7;1;5;46;31;PM2.5
09/04/2017;87;87;81;8;1;4;38;45;PM2.5
10/04/2017;48;32;31;9;3;7;48;40;CO
11/04/2017;39;39;36;2;3;19;37;30;PM2.5
12/04/2017;99;99;76;19;1;11;9;28;PM2.5
13/04/2017;105;105;100;17;1;11;12;26;PM2.5
14/04/2017;114;91;114;15;1;9;17;30;PM10
15/04/2017;100;86;100;17;1;12;34;38;PM10
16/04/2017;60;60;58;15;1;9;27;25;PM2.5
17/04/2017;60;52;60;16;1;9;22;19;PM10
18/04/2017;86;75;86;16;1;8;26;35;PM10
19/04/2017;90;70;90;14;2;10;20;35;PM10
20/04/2017;104;104;89;12;1;11;88;43;PM2.5
21/04/2017;101;101;98;4;1;11;70;46;PM2.5
22/04/2017;104;104;91;11;1;6;48;43;PM2.5
23/04/2017;93;93;86;6;1;6;33;42;PM2.5
24/04/2017;111;111;93;7;1;4;30;42;PM2.5
25/04/2017;73;73;69;7;1;4;37;26;PM2.5
26/04/2017;97;97;84;8;1;4;35;42;PM2.5
27/04/2017;88;88;85;6;1;6;44;40;PM2.5
28/04/2017;92;92;85;6;1;5;52;44;PM2.5
29/04/2017;86;86;82;7;1;5;54;51;PM2.5
30/04/2017;88;88;81;7;1;5;46;52;PM2.5
01/05/2017;87;87;81;6;1;4;38;53;PM2.5
02/05/2017;79;79;74;6;1;5;51;54;PM2.5
03/05/2017;81;81;77;7;1;4;44;55;PM2.5
04/05/2017;92;92;87;8;1;4;63;43;PM2.5
05/05/2017;93;93;78;7;1;4;55;54;PM2.5
06/05/2017;95;95;85;7;1;3;52;48;PM2.5
07/05/2017;97;97;88;7;1;5;61;45;PM2.5
08/05/2017;92;92;86;8;1;4;54;53;PM2.5
09/05/2017;110;110;92;11;1;7;62;54;PM2.5
10/05/2017;124;124;102;9;1;5;49;45;PM2.5
11/05/2017;114;114;92;6;1;7;54;50;PM2.5
12/05/2017;101;101;87;8;1;5;59;45;PM2.5
13/05/2017;95;95;86;8;1;3;51;46;PM2.5
14/05/2017;94;94;85;9;1;3;38;48;PM2.5
15/05/2017;106;106;92;7;1;5;60;45;PM2.5
16/05/2017;104;104;89;7;1;3;48;50;PM2.5
17/05/2017;119;119;96;5;1;4;44;28;PM2.5
18/05/2017;111;111;95;8;1;4;42;34;PM2.5
19/05/2017;86;86;81;7;1;5;51;49;PM2.5
20/05/2017;97;97;89;8;1;4;47;39;PM2.5
21/05/2017;89;89;83;7;1;4;43;44;PM2.5
22/05/2017;84;84;78;4;1;3;44;48;PM2.5
23/05/2017;98;98;87;5;1;4;45;28;PM2.5
24/05/2017;80;80;76;6;1;5;45;27;PM2.5
25/05/2017;91;91;84;6;1;4;54;45;PM2.5
26/05/2017;77;77;74;6;1;4;56;53;PM2.5
27/05/2017;76;76;72;6;1;4;42;43;PM2.5
28/05/2017;85;85;79;7;1;4;44;48;PM2.5
29/05/2017;77;77;74;7;1;4;40;40;PM2.5
30/05/2017;110;110;95;8;2;88;50;48;PM2.5
31/05/2017;127;127;92;7;1;19;56;35;PM2.5
01/06/2017;148;148;107;6;1;9;51;50;PM2.5
02/06/2017;125;125;96;8;1;8;42;44;PM2.5
03/06/2017;118;118;97;6;1;5;45;45;PM2.5
04/06/2017;102;102;88;4;1;7;44;38;PM2.5
05/06/2017;84;84;80;6;1;8;40;16;PM2.5
06/06/2017;111;111;110;2;1;5;39;41;PM2.5
07/06/2017;134;134;102;1;1;4;31;35;PM2.5
08/06/2017;71;71;68;2;1;5;36;38;PM2.5
09/06/2017;92;92;82;1;1;4;40;28;PM2.5
10/06/2017;84;84;79;1;1;6;44;34;PM2.5
11/06/2017;82;82;77;3;1;5;33;34;PM2.5
12/06/2017;78;78;74;2;1;4;34;30;PM2.5
13/06/2017;84;84;78;2;1;6;36;32;PM2.5
14/06/2017;122;122;94;6;2;14;40;29;PM2.5
15/06/2017;112;112;104;2;1;5;35;34;PM2.5
16/06/2017;133;133;101;1;1;3;30;35;PM2.5
17/06/2017;183;183;129;2;1;8;39;36;PM2.5
18/06/2017;209;209;142;2;1;4;45;28;PM2.5
19/06/2017;299;299;245;2;1;8;39;30;PM2.5
20/06/2017;219;219;152;2;1;10;39;26;PM2.5
21/06/2017;101;101;96;3;1;8;35;16;PM2.5
22/06/2017;91;91;88;7;1;8;43;13;PM2.5
23/06/2017;114;114;94;7;1;9;28;10;PM2.5
24/06/2017;160;160;118;5;1;8;34;12;PM2.5
25/06/2017;177;177;129;5;1;7;39;14;PM2.5
26/06/2017;207;207;154;5;1;8;41;18;PM2.5
27/06/2017;131;131;107;6;1;6;34;26;PM2.5
28/06/2017;79;65;79;16;7;4;22;30;PM10
29/06/2017;78;74;78;25;5;13;24;28;PM10
30/06/2017;114;98;114;29;6;10;30;33;PM2.5
01/07/2017;115;115;107;25;9;9;25;32;PM2.5
02/07/2017;103;88;103;37;8;10;28;42;PM10
03/07/2017;50;49;30;10;1;7;50;30;CO
04/07/2017;56;16;56;16;1;6;36;18;PM10
05/07/2017;79;56;79;12;1;6;22;31;PM10
06/07/2017;60;43;60;15;1;11;43;25;PM10
07/07/2017;69;21;69;10;1;6;35;21;PM10
08/07/2017;77;72;77;12;1;3;31;45;PM10
09/07/2017;96;81;96;10;1;18;75;40;PM10
10/07/2017;79;74;79;12;1;13;48;29;PM10
11/07/2017;90;90;65;5;1;18;41;31;PM2.5
12/07/2017;95;95;72;6;1;10;43;25;PM2.5
13/07/2017;96;96;82;6;2;4;38;36;PM2.5
14/07/2017;90;72;90;7;2;6;39;30;PM10
15/07/2017;78;78;70;7;2;4;65;27;PM2.5
16/07/2017;91;80;91;18;8;6;32;22;PM10
17/07/2017;65;59;65;16;7;7;36;25;PM10
18/07/2017;91;76;91;11;6;5;29;28;PM10
19/07/2017;100;100;84;7;2;6;34;31;PM2.5
20/07/2017;131;131;103;8;2;6;38;25;PM2.5
21/07/2017;168;168;123;8;2;6;39;32;PM2.5
22/07/2017;48;32;31;9;3;7;48;36;CO
23/07/2017;46;46;45;2;3;19;30;29;PM2.5
24/07/2017;86;86;82;18;3;10;39;30;PM2.5
25/07/2017;94;94;86;14;3;11;36;23;PM2.5
26/07/2017;96;96;88;12;2;10;28;22;PM2.5
27/07/2017;95;95;85;9;1;7;34;22;PM2.5
28/07/2017;99;99;80;11;1;9;38;27;PM2.5
29/07/2017;81;77;80;26;4;22;44;34;PM10
30/07/2017;109;109;109;26;5;10;40;25;PM2.5
31/07/2017;122;122;108;28;5;10;47;32;PM2.5
01/08/2017;137;130;137;28;4;13;48;32;PM10
02/08/2017;161;161;118;15;5;15;95;30;PM2.5
03/08/2017;126;126;100;14;5;17;33;18;PM2.5
04/08/2017;109;109;81;14;5;13;30;26;PM2.5
05/08/2017;70;70;57;14;5;11;37;30;PM2.5
06/08/2017;94;94;77;14;5;11;44;28;PM2.5
07/08/2017;93;93;83;14;5;10;24;33;PM2.5
08/08/2017;143;143;106;14;5;14;56;32;PM2.5
09/08/2017;125;125;104;14;5;10;51;28;PM2.5
10/08/2017;103;103;93;12;8;10;30;28;PM2.5
11/08/2017;87;72;87;20;4;8;18;18;PM10
12/08/2017;66;56;66;24;5;10;24;31;PM10
13/08/2017;52;52;45;22;6;6;48;30;PM2.5
14/08/2017;50;23;30;28;6;4;46;22;CO
15/08/2017;52;26;29;32;6;4;47;18;CO
16/08/2017;66;66;65;29;6;5;42;19;PM2.5
17/08/2017;51;51;44;16;1;9;38;25;PM10
18/08/2017;54;54;36;16;1;11;37;30;PM2.5
19/08/2017;45;45;43;20;2;8;30;25;PM2.5
20/08/2017;62;62;42;34;5;9;37;24;PM2.5
21/08/2017;55;30;55;35;5;21;33;23;PM10
22/08/2017;70;70;57;14;5;11;37;22;PM2.5
23/08/2017;94;94;77;14;5;11;44;26;PM2.5
24/08/2017;126;126;100;14;5;17;33;24;PM2.5
25/08/2017;109;109;81;14;5;13;30;22;PM2.5
26/08/2017;93;93;83;14;5;10;24;29;PM2.5
27/08/2017;109;107;109;25;6;7;43;29;PM10
28/08/2017;129;129;108;22;8;7;40;18;PM2.5
29/08/2017;130;130;120;23;5;9;42;20;PM2.5
30/08/2017;160;151;160;25;2;12;38;22;PM10
31/08/2017;152;142;152;30;2;18;38;15;PM10
01/09/2017;171;171;159;35;2;11;44;18;PM2.5
02/09/2017;153;134;153;32;2;8;32;29;PM10
03/09/2017;164;122;164;28;2;7;36;15;PM10
04/09/2017;125;83;125;36;2;10;39;12;PM10
05/09/2017;139;104;139;37;2;8;42;10;PM10
06/09/2017;126;122;126;31;2;11;35;11;PM10
07/09/2017;138;136;138;35;2;12;51;10;PM10
08/09/2017;96;83;96;45;9;16;30;12;PM10
09/09/2017;112;101;112;41;7;12;36;13;PM10
10/09/2017;111;89;111;40;10;10;28;14;PM10
11/09/2017;115;92;115;42;18;11;30;15;PM10
12/09/2017;150;150;113;55;17;14;42;17;PM2.5
13/09/2017;155;155;124;70;15;10;42;13;PM2.5
14/09/2017;135;135;120;72;17;12;40;11;PM2.5
15/09/2017;212;212;147;98;16;5;73;11;PM2.5
16/09/2017;159;159;143;81;10;5;43;10;PM2.5
17/09/2017;119;103;119;78;10;4;39;14;PM10
18/09/2017;231;231;207;169;14;13;66;17;PM2.5
19/09/2017;255;255;204;100;15;19;59;18;PM2.5
20/09/2017;212;212;160;35;11;6;48;19;PM2.5
21/09/2017;797;175;204;797;143;7;35;20;NO2
22/09/2017;769;202;212;769;188;8;27;12;NO2
23/09/2017;103;79;93;103;14;9;30;15;NO2
24/09/2017;87;72;87;20;4;10;18;13;PM10
25/09/2017;241;123;139;241;10;12;31;13;NO2
26/09/2017;158;146;158;21;6;14;25;15;PM10
27/09/2017;156;121;156;19;5;13;21;14;PM10
28/09/2017;145;101;145;20;4;4;60;14;PM10
29/09/2017;143;99;143;20;8;12;45;13;PM10
30/09/2017;151;129;151;18;4;10;60;20;PM10
01/10/2017;155;101;155;21;6;9;41;21;PM10
02/10/2017;92;85;92;10;5;8;38;15;PM10
03/10/2017;171;171;153;19;6;6;38;13;PM2.5
04/10/2017;151;151;90;8;7;10;38;16;PM2.5
05/10/2017;184;136;184;20;9;4;47;13;PM10
06/10/2017;154;125;154;19;7;6;25;11;PM10
07/10/2017;164;153;164;20;8;9;32;18;PM10
08/10/2017;211;202;211;31;29;7;35;10;PM10
09/10/2017;252;233;252;55;15;7;36;12;PM10
10/10/2017;282;282;280;62;12;9;40;7;PM2.5
11/10/2017;253;241;253;63;10;10;47;8;PM10
12/10/2017;355;274;355;67;11;4;42;9;PM10
13/10/2017;374;268;374;65;10;5;30;6;PM10
14/10/2017;364;270;364;57;9;8;26;7;PM10
15/10/2017;327;268;327;63;7;9;29;15;PM10
16/10/2017;251;234;251;75;7;12;31;13;PM10
17/10/2017;262;253;262;67;5;6;28;14;PM10
18/10/2017;306;267;306;72;5;9;36;17;PM10
19/10/2017;315;232;315;59;5;6;30;15;PM10
20/10/2017;403;403;402;74;10;8;27;16;PM2.5
21/10/2017;358;358;334;117;16;8;25;17;PM2.5
22/10/2017;363;346;363;133;13;9;32;16;PM10
23/10/2017;400;393;400;150;15;12;35;28;PM10
24/10/2017;349;349;308;143;14;10;45;36;PM2.5
25/10/2017;395;359;395;147;14;9;50;29;PM10
26/10/2017;294;293;294;147;16;8;41;28;PM10
27/10/2017;357;332;357;179;18;7;46;18;PM10
28/10/2017;313;313;290;173;16;6;53;14;PM2.5
29/10/2017;247;247;170;65;10;14;43;15;PM2.5
30/10/2017;276;276;201;48;6;9;39;25;PM2.5
31/10/2017;284;284;188;48;5;12;48;18;PM2.5
01/11/2017;299;299;198;55;5;6;56;17;PM2.5
02/11/2017;316;316;279;162;15;5;51;16;PM2.5
03/11/2017;333;333;309;158;15;6;58;16;PM2.5
04/11/2017;308;308;274;152;15;7;54;18;PM2.5
05/11/2017;355;355;330;154;15;10;52;17;PM2.5
06/11/2017;373;355;373;143;14;9;54;12;PM10
07/11/2017;288;284;288;146;14;8;60;13;PM10
08/11/2017;276;273;276;152;14;6;61;14;PM10
09/11/2017;309;30;280;188;16;5;64;14;PM2.5
10/11/2017;362;362;362;242;21;4;69;15;PM2.5
11/11/2017;330;330;313;185;16;9;60;12;PM2.5
12/11/2017;331;331;327;182;16;10;62;10;PM2.5
13/11/2017;406;379;406;151;14;6;70;12;PM10
14/11/2017;368;352;368;158;16;4;65;14;PM10
15/11/2017;316;316;302;150;14;6;49;10;PM2.5
16/11/2017;92;76;92;20;3;5;27;10;PM10
17/11/2017;189;189;163;137;8;29;39;10;PM2.5
18/11/2017;160;141;138;160;10;8;30;10;NO2
19/11/2017;166;166;145;137;12;6;32;10;PM2.5
20/11/2017;146;146;144;135;12;7;36;12;PM2.5
21/11/2017;212;212;172;126;12;6;40;9;PM2.5
22/11/2017;312;312;292;121;11;10;47;10;PM2.5
23/11/2017;251;251;222;123;12;12;42;10;PM2.5
24/11/2017;244;244;226;127;13;11;50;11;PM2.5
25/11/2017;253;253;230;131;12;15;42;13;PM2.5
26/11/2017;361;301;361;151;15;13;74;30;PM10
27/11/2017;264;264;240;97;11;14;42;22;PM2.5
28/11/2017;298;290;298;121;13;13;64;39;PM10
29/11/2017;336;297;336;124;13;13;65;32;PM10
30/11/2017;340;340;326;146;13;14;67;30;PM2.5
01/12/2017;233;233;191;145;11;28;48;29;PM2.5
02/12/2017;215;212;215;169;14;10;85;28;PM10
03/12/2017;298;298;284;214;17;16;100;35;PM2.5
04/12/2017;286;286;210;181;14;16;68;32;PM2.5
05/12/2017;224;224;189;169;14;13;58;33;PM2.5
06/12/2017;140;104;139;140;12;12;47;30;NO2
07/12/2017;145;76;116;145;13;14;40;35;NO2
08/12/2017;155;138;155;148;13;13;60;25;PM10
09/12/2017;218;197;218;168;14;14;75;34;PM10
10/12/2017;254;254;240;177;15;19;87;25;PM2.5
11/12/2017;147;101;121;147;13;12;48;10;NO2
12/12/2017;179;108;108;179;14;23;42;12;NO2
13/12/2017;174;105;110;174;15;5;41;10;NO2
14/12/2017;121;114;121;43;16;3;27;12;PM10
15/12/2017;96;83;96;45;16;5;30;10;PM10
16/12/2017;112;101;112;41;16;4;36;12;PM10
17/12/2017;111;89;111;36;16;3;28;9;PM10
18/12/2017;115;92;115;40;16;4;30;10;PM10
19/12/2017;139;131;139;39;16;4;39;12;PM10
20/12/2017;170;170;154;49;14;4;38;10;PM2.5
21/12/2017;312;312;290;98;10;5;73;9;PM2.5
22/12/2017;159;159;143;81;10;5;43;7;PM2.5
23/12/2017;119;103;119;78;10;4;39;9;PM10
24/12/2017;231;231;207;169;14;13;66;13;PM2.5
25/12/2017;255;255;204;100;15;19;59;15;PM2.5
26/12/2017;212;212;160;35;11;4;48;17;PM2.5
27/12/2017;238;238;184;36;8;3;53;13;PM2.5
28/12/2017;272;272;217;36;8;4;65;11;PM2.5
29/12/2017;130;130;128;32;8;4;38;11;PM2.5
30/12/2017;248;248;191;30;7;3;54;10;PM2.5
31/12/2017;237;237;205;31;7;3;49;14;PM2.5
01/01/2018;276;276;215;30;7;4;49;25;PM2.5
02/01/2018;246;230;246;32;7;4;56;18;PM10
03/01/2018;195;195;162;31;7;3;41;12;PM2.5
04/01/2018;151;151;141;31;7;4;39;10;PM2.5
05/01/2018;271;271;233;33;7;4;49;14;PM2.5
06/01/2018;208;208;178;29;9;4;52;21;PM2.5
07/01/2018;171;171;138;20;13;4;38;13;PM2.5
08/01/2018;134;134;130;20;14;4;33;18;PM2.5
09/01/2018;164;164;139;18;14;5;37;21;PM2.5
10/01/2018;169;169;145;21;14;5;38;17;PM2.5
11/01/2018;186;186;150;20;14;7;38;20;PM2.5
12/01/2018;155;155;144;38;14;4;38;19;PM2.5
13/01/2018;189;189;155;26;4;24;47;17;PM2.5
14/01/2018;228;228;176;86;10;17;52;18;PM2.5
15/01/2018;146;146;137;31;7;4;42;18;PM2.5
16/01/2018;174;174;135;43;14;7;42;7;PM2.5
17/01/2018;250;250;45;14;7;53;5;15;PM2.5
18/01/2018;253;253;170;16;9;5;37;12;PM2.5
19/01/2018;120;120;117;28;14;6;34;13;PM2.5
20/01/2018;106;95;106;28;14;6;33;22;PM10
21/01/2018;130;123;130;30;14;5;35;18;PM10
22/01/2018;205;205;179;35;15;6;58;16;PM2.5
23/01/2018;218;218;173;36;14;7;44;14;PM2.5
24/01/2018;57;57;54;30;14;5;25;18;PM2.5
25/01/2018;62;56;62;30;14;6;28;19;PM10
26/01/2018;83;69;83;29;14;6;31;15;PM10
27/01/2018;112;108;112;28;14;4;26;16;PM10
28/01/2018;91;80;91;28;14;6;32;13;PM10
29/01/2018;65;59;65;28;14;7;36;14;PM10
30/01/2018;91;76;91;28;14;5;29;16;PM10
31/01/2018;107;104;107;32;14;6;32;12;PM10
01/02/2018;88;88;86;35;14;6;33;10;PM2.5
02/02/2018;81;55;81;32;14;6;22;9;PM10
03/02/2018;103;72;103;24;6;6;22;12;PM10
04/02/2018;112;99;112;40;2;8;27;8;PM10
05/02/2018;106;84;106;40;2;6;34;7;PM10
06/02/2018;152;77;152;40;2;6;25;9;PM10
07/02/2018;105;76;105;40;2;6;32;6;PM10
